FOODCODE	DESCRIPTION_f
11513852	Chocolate_milk_made_from_sugar_free_syrup_with_reduced_fat_milk
11513853	Chocolate_milk_made_from_sugar_free_syrup_with_low_fat_milk
11513854	Chocolate_milk_made_from_sugar_free_syrup_with_fat_free_milk
11513855	Chocolate_milk_made_from_sugar_free_syrup_with_non-dairy_milk
11514100	Hot_chocolate__Cocoa_made_with_dry_mix_and_water
11514110	Hot_chocolate__Cocoa_made_with_dry_mix_and_whole_milk
11514120	Hot_chocolate__Cocoa_made_with_dry_mix_and_reduced_fat_milk
11514130	Hot_chocolate__Cocoa_made_with_dry_mix_and_low_fat_milk
11514140	Hot_chocolate__Cocoa_made_with_dry_mix_and_fat_free_milk
11514150	Hot_chocolate__Cocoa_made_with_dry_mix_and_non-dairy_milk
11514310	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_water
11514320	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_whole_milk
11514330	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_reduced_fat_milk
11514340	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_low_fat_milk
11514350	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_fat_free_milk
11514360	Hot_chocolate__Cocoa_made_with_no_sugar_added_dry_mix_and_non-dairy_milk
11519040	Strawberry_milk_NFS
11519050	Strawberry_milk_whole
11519105	Strawberry_milk_reduced_fat
11519200	Strawberry_milk_low_fat
11519205	Strawberry_milk_fat_free
11519215	Strawberry_milk_non-dairy
11526000	Milk_malted
11531000	Eggnog_regular
11531500	Eggnog_lowfat__light
11541110	Milk_shake_home_recipe_chocolate
11541120	Milk_shake_home_recipe_flavors_other_than_chocolate
11541130	Milk_shake_home_recipe_chocolate_light
11541135	Milk_shake_home_recipe_flavors_other_than_chocolate_light
11541400	Milk_shake_with_malt
11542100	Milk_shake_fast_food_chocolate
11542200	Milk_shake_fast_food_flavors_other_than_chocolate
11543000	Milk_shake_bottled_chocolate
11543010	Milk_shake_bottled_flavors_other_than_chocolate
11551050	Licuado_or_Batido
11553100	Fruit_smoothie_NFS
11553110	Fruit_smoothie_with_whole_fruit_and_dairy
11553120	Fruit_smoothie_with_whole_fruit_and_dairy_added_protein
11553130	Fruit_smoothie_juice_drink_with_dairy
11560000	Chocolate_milk_drink
11710000	Infant_formula_NFS
11710050	Infant_formula_NS_as_to_form_(Similac_Expert_Care_Alimentum)
11710051	Infant_formula_ready-to-feed_(Similac_Expert_Care_Alimentum)
11710053	Infant_formula_powder_made_with_water_NFS_(Similac_Expert_Care_Alimentum)
11710054	Infant_formula_powder_made_with_tap_water_(Similac_Expert_Care_Alimentum)
11710055	Infant_formula_powder_made_with_plain_bottled_water_(Similac_Expert_Care_Alimentum)
