FOODCODE	F_CITMLB	F_OTHER	F_JUICE	F_TOTAL	V_DRKGR	V_REDOR_TOMATO	V_REDOR_OTHER	V_REDOR_TOTAL	V_STARCHY_POTATO	V_STARCHY_OTHER	V_STARCHY_TOTAL	V_OTHER	V_TOTAL	V_LEGUMES	G_WHOLE	G_REFINED	G_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_ORGAN	PF_POULT	PF_SEAFD_HI	PF_SEAFD_LOW	PF_MPS_TOTAL	PF_EGGS	PF_SOY	PF_NUTSDS	PF_LEGUMES	PF_TOTAL	D_MILK	D_YOGURT	D_CHEESE	D_TOTAL	OILS	SOLID_FATS	ADD_SUGARS	A_DRINKS
11113000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	0	0
11114300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0.36	0	0
11114320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	0	0
11114330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	1.37	0	0
11114350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	2.64	0	0
11115000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0.27	0	0
11115100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0.27	0	0
11115200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	1.39	0	0
11115300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	2.7	0	0
11115400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0.31	0	0
11116000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	3.53	0	0
11120000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	0	0
11121100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	3.47	0	0
11121210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0.4	0	0
11121300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	0	0
11210050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0.8	0	6.36	0	0
11211050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0.8	0	6.36	0	0
11211400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0.8	0	0.76	0	0
11212050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0.8	0	0	0	0
11220000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0.4	0	8.1	11.71	0
11300100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.09	0.12	0	0	0.12	0.66	0.12	0.71	0
11320000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0.86	0	0.77	0
11320100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0.16	0	0.53	0
11320200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	0.77	0
11321000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0.92	0	1.78	0
11321100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	1.6	0
11321200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	1.6	0
11340000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.26	0
11350000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.14	0	0	0	0	0.63	0	1.42	0
11350010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.14	0	0	0	0	0.63	0.14	1.89	0
11350020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.14	0	0	0	0	0.63	0	0	0
11350030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.14	0	0	0	0	0.63	0.27	0	0
11360000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76	0	0	0
11370000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08	0.6	0
11400000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0.94	0	0
11400010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	1.31	0	0
11410000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0.94	0	0
11411010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0.94	0	0
11411100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	2.64	0	0
11411200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0.94	0	0
11411300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0	0	0
11411390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	1.31	0	0
11411400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	4.39	0	0
11411410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	1.31	0	0
11411420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0	0	0
11430000	0.03	0.03	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.36	0	0.76	1.19	0
11431000	0.03	0.03	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.36	0	2.26	0.7	0
11432000	0.03	0.03	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.36	0	0.76	1.19	0
11433000	0.03	0.03	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0.35	0	0	1.33	0
11433990	0.03	0.03	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.36	0	1.96	1.72	0
11434000	0.03	0.03	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.36	0	2.39	1.9	0
11434010	0.03	0.03	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.36	0	1.96	1.72	0
11434020	0.03	0.03	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.36	0	0	1.73	0
11434090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0.4	0	0.91	0.71	0
11434100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0.39	0	2.51	1.19	0
11434200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0.4	0	0.91	0.71	0
11434300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0.4	0	0	0.71	0
11435000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0.39	0	1.89	1.32	0
11435010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0.38	0	3.84	1.29	0
11435020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0.39	0	1.89	1.32	0
11435030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0.39	0	0	1.32	0
11435100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0.07	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.31	0	0.32	0.13	1.91	2.3	0
11436000	0.02	0.01	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0.29	0	0.66	1.24	0
11440010	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0	0.32	0	0.32	14.13	1.1	0	0
11440020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0	0.32	0	0.32	14.13	1.1	0	0
11440030	0	0	0	0	0	0	0	0	0	0	0	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0.06	0.25	0	0.31	11.12	1.08	0	0
11440040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0.04	0.32	0	0.36	14.13	1.1	0	0
11440050	0	0	0	0	0.04	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0.02	0.06	0.25	0	0.31	11.12	1.08	0	0
11440060	0	0	0	0	0	0	0	0	0	0	0	0.31	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0.23	3.46	2.46	0	0
11440070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.03	0	0.32	0	0.32	14.13	1.1	0	0
11446000	0.29	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0.21	0	0.42	1.12	0
11459990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0.37	0	1.94	2	0
11460000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0.38	0	3.03	1.74	0
11460100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0.38	0	3.03	1.58	0
11460150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0.37	0	1.94	2	0
11460160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0.38	0	1.38	1.48	0
11460170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0.37	0	1.94	2	0
11460190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0.37	0	0	2.16	0
11460200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0.19	0	0
11460250	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0.28	0	3.07	3.85	0
11460300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0.19	0	0
11460400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0.19	0	0
11460410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	0.19	0	0
11460420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0.38	0	3.03	1.74	0
11460430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0.38	0	3.03	1.58	0
11460440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0.38	0	3.03	1.74	0
11461000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0.28	0	15.99	4.43	0
11461200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0.28	0	4.56	3.86	0
11461250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49	0.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0.29	0	8.6	2.88	0
11461260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53	0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0.32	0	4.81	3.12	0
11461270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0.38	0	1.23	0	0
11461280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0.36	0	1.64	1.47	0
11480010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0.41	0	2.64	0	0
11480020	0.01	0.07	0	0.08	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0.27	0	1.71	1.5	0
11480030	0.01	0.07	0	0.08	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0.27	0	1.71	1.52	0
11480040	0.01	0.07	0	0.08	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27	0	0.27	0	1.71	1.5	0
11511000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	0.98	0
11511100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	2.78	1.03	0
11511200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	1.29	1.04	0
11511300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	0.98	0
11511400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0.39	1.13	0
11511550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0.43	0.5	0
11511600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0.39	1.13	0
11511610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	0.98	0
11511700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0.39	0	0
11512010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	1	2.41	0
11512020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0.41	0	0	2.41	0
11512030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0.17	0	0	0.17	0.6	0	3.56	0
11512100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0.32	0	2.77	2.54	0
11512110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0.32	0	1.71	2.54	0
11512120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0.16	0	0	0.16	0.58	1.71	3.39	0
11513000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	1.48	1.2	0
11513100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	2.62	1.2	0
11513150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	1.42	1.2	0
11513200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	0.48	1.2	0
11513300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	0.14	1.2	0
11513310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.07	0.19	0	0	0.19	0.7	0.14	2.23	0
11513350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	1.76	0	0
11513355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	2.92	0	0
11513360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	1.7	0	0
11513365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	0.73	0	0
11513370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	0.39	0	0
11513375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.07	0.2	0	0	0.2	0.71	0.39	1.05	0
11513380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	1.48	1.2	0
11513381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	2.62	1.2	0
11513382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	1.42	1.2	0
11513383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	0.48	1.2	0
11513384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0.38	0	0.14	1.2	0
11513385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.07	0.19	0	0	0.19	0.7	0.14	2.23	0
11513390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	1.76	0	0
11513391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	2.92	0	0
11513392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	1.7	0	0
11513393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	0.73	0	0
11513394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0	0.39	0	0.39	0	0
11513395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.07	0.2	0	0	0.2	0.71	0.39	0	0
11513400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0.35	0	1.24	1.9	0
11513500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0.35	0	2.29	1.9	0
11513550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0.35	0	1.19	1.9	0
11513600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0.35	0	0.31	1.9	0
11513700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0.35	0	0	1.9	0
11513750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.06	0.18	0	0	0.18	0.64	0	2.85	0
11513800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0.36	0	1.37	0.85	0
11513801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0.36	0	2.43	0.85	0
