	BMXBMI	PROT	CARB	SUGR	FIBE	TFAT	SFAT	MFAT	PFAT	CHOL	ATOC	ATOA	RET	VARA	ACAR	BCAR	CRYP	LYCO	LZ	VB1	VB2	NIAC	VB6	FOLA	FA	FF	FDFE	CHL	VB12	B12A	VC	VD	VK	CALC	PHOS	MAGN	IRON	ZINC	COPP	SODI	POTA	SELE	CAFF	THEO	ALCO	S040	S060	S080	S100	S120	S140	S160	S180	M161	M181	M201	M221	P182	P183	P184	P204	P205	P225	P226
VB1	0.0743808469831347	0.617865919972403	0.699306670855437	0.416874933145846	0.545031355002554	0.537412538634351	0.499010181807421	0.481670872081996	0.469105151629202	0.323893699214151	0.469706437146389	0.164486050000644	0.432470915658151	0.453971695720034	0.191345430961602	0.247834145844908	0.141565537294004	0.338286534092137	0.119739552860845	1	0.718260935831888	0.639557498110959	0.618611157788075	0.70946603851668	0.610583468733866	0.452006134271374	0.70580509526151	0.499100358033055	0.464305583126505	0.278281066659302	0.313826079919489	0.484683198810295	0.163588116506979	0.581464266706262	0.713268697861713	0.565118468338201	0.741406982100501	0.615330291892638	0.548321991276432	0.691565576699395	0.699386772319289	0.63663303420542	0.176495130996223	0.0213967450364075	-0.0983522779132294	0.334536456601417	0.327839959413536	0.138764621778273	0.263020513067731	0.0243133171833952	0.328056278457138	0.556654627843105	0.517072803447271	0.378118537263206	0.478761938503351	0.392669117699642	0.0830051000750343	0.461056142000504	0.424502652933446	0.173773833561438	0.329885740335791	0.194696935218657	0.266647997535759	0.239408453910631
VB2	0.116885114488551	0.68632134111217	0.584038381181766	0.480448601995156	0.426014957643776	0.550795411024637	0.554261249917754	0.507682455786862	0.407141636322929	0.400285607434172	0.473057050243421	0.169792013035729	0.5404397656253	0.50235500200176	0.140147425291645	0.217125517385338	0.0191950472521859	0.376036174316813	0.122220943561551	0.718260935831888	1	0.68045243917691	0.646262027582468	0.542593708592592	0.442472791330982	0.375912610045592	0.530741621743752	0.591993350040886	0.652797889638166	0.385660765324118	0.245690851690336	0.534839318642142	0.14894724623032	0.69945750881856	0.786268470173883	0.600668287353191	0.57206643753357	0.730319164119821	0.49209362043938	0.576949525445035	0.737312847807863	0.609176313984764	0.407722160151869	0.126528724706574	-0.0952737852939579	0.435573532077965	0.412261221885458	0.208838759156841	0.340127799772209	0.0673003379186703	0.400093830308437	0.587019261196008	0.560764864998152	0.416544579832915	0.503770021260161	0.368514410831475	0.0796428705616965	0.405330973004179	0.336202970488738	0.151722110263133	0.310129394645966	0.104112377050908	0.116999808944475	0.147944488417673
NIAC	0.051772285811438	0.783870950811919	0.493187102023678	0.307683185557808	0.357042851950032	0.514449706010396	0.419950891293003	0.514691951327856	0.441230094283171	0.419735354666159	0.515072822443576	0.224616140896068	0.274380533086885	0.31500938581181	0.154177361000947	0.199001713262409	0.0599053320407463	0.254226603504238	0.104174082080564	0.639557498110959	0.68045243917691	1	0.826156094009197	0.528657042073015	0.449340441648825	0.342498079575141	0.523794553815245	0.557798839234824	0.58334917181397	0.445599030354742	0.203662987930614	0.326851743743655	0.131675767787446	0.411386844159103	0.68049167196831	0.623447004873624	0.583691950297051	0.687530659067528	0.490790667615972	0.626819466594718	0.637063214341514	0.712424381936237	0.189034149468811	0.0984755611656346	0.0606580634919294	0.170527347674715	0.169014890492474	0.0568516890652683	0.151953200678548	0.0189149972644235	0.220649897270974	0.469823226581193	0.444289542284342	0.479202429387363	0.508358319533646	0.474138584715584	0.0965626614532771	0.444000055457142	0.309920303194484	0.221708268872113	0.400759993851514	0.188825245295676	0.201832836956794	0.236005100400975
VB6	-0.00879821968654802	0.672807471785606	0.492382354164726	0.358399877198979	0.49902326653594	0.410180598729522	0.327605688953587	0.412536572564331	0.365926850967463	0.372338499407737	0.462975210193788	0.229089209301884	0.400541916786393	0.459453082804098	0.135302629561229	0.29875020288934	0.142453927900652	0.232740474653775	0.18801082064547	0.618611157788075	0.646262027582468	0.826156094009197	1	0.613925310067274	0.485052645480586	0.444272322848297	0.595424567238359	0.56664277132815	0.629079812234663	0.610085314922326	0.418983847332617	0.41961062596988	0.215066719174073	0.390738673765079	0.643041691273678	0.654843615280699	0.610209676802967	0.737361418666681	0.604858137472322	0.47653574630935	0.735117655819308	0.556275021848403	0.00523705582139614	0.0466382969200721	0.0430886955481451	0.18093276518246	0.164267431540581	0.051148738914418	0.135263961852089	0.00295429155682458	0.174652550963306	0.377888380010717	0.338485923712096	0.401758176333331	0.408927342026599	0.38769891066879	0.0630115925757889	0.360194881338709	0.303343948109385	0.278837724153426	0.345279828042	0.214401064777678	0.195934731170027	0.24140806688671
FOLA	-0.0528666962773035	0.396924661615619	0.588456812962971	0.289813512814708	0.679172740766957	0.273964102791842	0.228187254062691	0.250882207037056	0.270037201554123	0.0627637086729398	0.397996761544844	0.195519657058679	0.370259859931975	0.43407227676649	0.202238577577399	0.282179673414876	0.169575201003789	0.309201605969641	0.257650291220442	0.70946603851668	0.542593708592592	0.528657042073015	0.613925310067274	1	0.815207710771328	0.693613890275961	0.978980885356956	0.277641252790589	0.455120436838655	0.471732172677551	0.416863167634554	0.352329099412916	0.284237808595768	0.487814156690964	0.533004949884193	0.596995878484079	0.806707893568715	0.540843467616148	0.573706930374955	0.389210709684509	0.594865591329574	0.414324444407107	0.0669660484181848	-0.0416871560104888	-0.0519538573631413	0.190668131898927	0.179315866865871	0.0543624054924017	0.133300725535168	-0.0241370102090253	0.157127206158649	0.278943987546563	0.186512753038445	0.111414116221971	0.25438358670841	0.230233692038441	0.0335700360956655	0.264143302882453	0.272999828786089	0.236395905910421	0.033670842268937	0.139953130972898	0.100611790057135	0.168951617777303
FA	-0.0103101518191837	0.206969721511476	0.394309634877481	0.180632366550143	0.309396798331699	0.159089691968923	0.182539377647648	0.126050583792516	0.115609427470549	-0.0273283432695001	0.169952225018629	0.178754328003061	0.357929743870631	0.298311308187643	0.0800421230100508	0.0876786337059526	0.0290170516769425	0.297138152355483	0.0237839399647488	0.610583468733866	0.442472791330982	0.449340441648825	0.485052645480586	0.815207710771328	1	0.148269380870868	0.916179721584934	0.059379355662951	0.390645738048813	0.579700272308313	0.169331593948911	0.244208146810184	0.0317830744248746	0.381910415939054	0.322652515197312	0.282428793898477	0.752428684527305	0.449638297110556	0.288876797586503	0.259445764000451	0.299404412339168	0.240442454168339	0.118337177426428	-0.104615401634938	-0.112659142804912	0.187441748941235	0.180191482731204	0.0822275339368635	0.143625332993438	0.00733726521203412	0.175760838851602	0.199923397964223	0.154690986425953	0.0859176554343724	0.124121043653634	0.0804098783116088	0.0168593012720184	0.112881974867279	0.125062761119515	0.212739615452436	-0.0575143143488236	0.0354689598069133	0.0224015762365358	0.0293223465095925
FF	-0.0769115305609462	0.419948983759789	0.514309445131312	0.270670881993655	0.774858253637099	0.270137056329521	0.163121549608991	0.271811858576416	0.317148215199443	0.14076973466891	0.468701509261	0.11352151818584	0.187926150291155	0.370999891524523	0.246043437311175	0.373147366407843	0.254187381947612	0.158601344280211	0.410150861976632	0.452006134271374	0.375912610045592	0.342498079575141	0.444272322848297	0.693613890275961	0.148269380870868	1	0.53215945293794	0.399964991851598	0.291596542892912	0.0834981899513764	0.502256490537314	0.298817029918277	0.445321730413146	0.358706310401619	0.509199797668499	0.668634445484885	0.441602258253033	0.364361858112506	0.620663637453534	0.34181437480769	0.643621210549784	0.408334991193867	-0.0328597565168309	0.0591776991904149	0.0513689869446797	0.0932784395864976	0.0827132036920402	-0.00839031834378759	0.0499218277540295	-0.0493521664188707	0.0505429275858347	0.227796372065551	0.126457994156713	0.0828915386179042	0.280178641109214	0.2933739045519	0.0366385186544985	0.310464280127764	0.310716674562295	0.139617483039228	0.129018978046707	0.195272018005708	0.144316009013602	0.252570695716277
FDFE	-0.0403384238158551	0.347315775694081	0.545785555230315	0.264016939201873	0.578749481659035	0.24532906693486	0.22184621472233	0.217896951588013	0.227292563689501	0.0337535032445556	0.335307633325579	0.198902342165523	0.382069860207607	0.405288183525232	0.168199381637189	0.226113119851276	0.127819164869326	0.318441812906465	0.186858158808838	0.70580509526151	0.530741621743752	0.523794553815245	0.595424567238359	0.978980885356956	0.916179721584934	0.53215945293794	1	0.213006202110884	0.452190490814202	0.530161547829439	0.348181018707525	0.329863688910134	0.207951605691444	0.471683677865953	0.482195866686763	0.512610063870304	0.823076195124537	0.532423694570951	0.498652813131716	0.360285310986837	0.516833476946278	0.371295185642782	0.0880532530031755	-0.0659682339058108	-0.0755149733934201	0.197639313966992	0.187207606952569	0.0664394983560923	0.142515782296378	-0.0142131990335122	0.170320182933185	0.263061327379986	0.183271371396373	0.107351936029152	0.219633893735204	0.18751939464584	0.0291458376142025	0.222224508131212	0.232827404266719	0.238281118848268	0.00323255445256333	0.109450379664486	0.0778437613243818	0.127416398550789
CHL	0.033350218644111	0.766231206935019	0.451281075801205	0.323075098771823	0.298102819515041	0.634653647283912	0.549479146517936	0.635736149603279	0.537799632715302	0.88267789376781	0.507615261589241	0.0996527994526752	0.307739045070282	0.298020915776358	0.105631676258564	0.138987305369723	0.0811786655400789	0.187214591341551	0.123110694375081	0.499100358033055	0.591993350040886	0.557798839234824	0.56664277132815	0.277641252790589	0.059379355662951	0.399964991851598	0.213006202110884	1	0.475285131322205	0.0307951765326186	0.284522485792512	0.434354446619726	0.153045598643583	0.335948097861003	0.704324326908677	0.512692004911388	0.385362642654869	0.575176529944563	0.459413863920868	0.656135096009944	0.645210829901839	0.71749530843953	0.0519477107561659	0.123174203481965	0.174066816341655	0.238700215264186	0.235221729138171	0.126181657711255	0.209291226966251	0.0547193602459752	0.2711655522103	0.622805911493609	0.604621416194046	0.58121988571997	0.631440206027999	0.495591392120019	0.0971377794136844	0.523980345062271	0.459282471231866	0.0784571044358568	0.783801820229706	0.234402273529665	0.301307456917435	0.3547029719502
VB12	-0.0398911801709503	0.599238359822005	0.341573432200697	0.31517324308627	0.271935066063146	0.363955922265908	0.36111975347716	0.350569677153341	0.251085477524517	0.307663750736838	0.3061000345113	0.192538922532353	0.562848052634906	0.466572016987073	0.0219039417691675	0.142363142770786	0.200740981726483	0.132106300640328	0.126542515286706	0.464305583126505	0.652797889638166	0.58334917181397	0.629079812234663	0.455120436838655	0.390645738048813	0.291596542892912	0.452190490814202	0.475285131322205	1	0.534402218289575	0.288861427798991	0.643641039360298	0.122765557140567	0.547928135347312	0.639755348190913	0.460360794499937	0.45186688583044	0.650531994617127	0.394563041953203	0.416802049093103	0.535033948685113	0.531242141637196	0.0384117270702242	0.0972579618137158	-0.112729267011083	0.273880792656055	0.246934063752396	0.13682962015651	0.212702815166052	0.0531830291274592	0.286863957767245	0.37527261382777	0.362250310855233	0.359620790167308	0.337631621574033	0.417172173390462	0.196705087994067	0.235099255252924	0.235631772788796	0.475211264525264	0.202300544780843	0.451271304256065	0.226414847381873	0.444205850943865
B12A	-0.0584359923222489	0.138364769501404	0.0954387603408438	0.0818375218100587	0.166624825002946	-0.00655319235893459	0.000905759814899207	0.00948894831672988	-0.0440864073546573	-0.0182231098578098	0.0700192720469281	0.255343596845854	0.297626266991888	0.237764640282944	0.00796883733922614	0.0625216804718318	0.028528136961865	0.0645693896632067	0.0989545957626849	0.278281066659302	0.385660765324118	0.445599030354742	0.610085314922326	0.471732172677551	0.579700272308313	0.0834981899513764	0.530161547829439	0.0307951765326186	0.534402218289575	1	0.0911364516635187	0.209705300038549	0.0533422725815319	0.187996233648083	0.171015851096979	0.170895796966623	0.372759969076371	0.439859661773901	0.16250207211671	0.0251680040211512	0.168408735455412	0.05548471332439	-0.0314873037394065	-0.0651205951811271	-0.0870096632132574	0.0239030347632256	0.000486397486770029	0.0134353789604517	0.00887648639939184	-0.00171096385781881	0.01495496131508	5.55558345238117e-05	-0.00949857335256908	0.0635636382355823	0.00699299045448527	-0.0036864056357551	0.001022286821302	-0.046242656748628	-0.0306836757841486	0.206913005020147	-0.0676470790276622	0.0145642552076752	-0.0366617109815811	-0.0175197573717809
VC	-0.160381633084401	0.255658991874672	0.38320394152419	0.329825441504677	0.473805950559109	0.107045874076758	0.0527053800400273	0.103451266775638	0.149298914191666	0.0882109452792185	0.290315450402113	0.133488200985087	0.236266934744056	0.360027861265435	0.154502463339106	0.307362023230119	0.470482951846695	0.201060974907296	0.20156619721677	0.313826079919489	0.245690851690336	0.203662987930614	0.418983847332617	0.416863167634554	0.169331593948911	0.502256490537314	0.348181018707525	0.284522485792512	0.288861427798991	0.0911364516635187	1	0.329810228201876	0.226750639082811	0.269195853978022	0.332826555679812	0.491518090392076	0.300913263359406	0.259140880080171	0.474141929604351	0.190423961405408	0.580490606794689	0.257388630848981	-0.12331627394591	0.047521199461822	0.0522021297300473	0.0899148382436415	0.0696677785114238	-0.00852529567092538	0.0386716987602078	-0.0438742751827653	0.0284949388840028	0.080365472046551	0.0325310787082783	0.0553492532743962	0.105279476445343	0.15879348978187	-0.0218554863130436	0.138438468790254	0.162701617028062	0.20576336204396	0.0924114053822445	0.23629042438422	0.199757265522979	0.275863980756708
VD	-0.0901778021687343	0.420023054849402	0.397342010070077	0.414823963524959	0.271192835845783	0.277197256902951	0.269872582764983	0.246023181694438	0.224888820612153	0.247807351852198	0.262797878688177	0.13885419040314	0.522990247308086	0.448312620863784	0.0788563611023837	0.150577330840236	0.149654373719426	0.12079555098374	0.138674208719212	0.484683198810295	0.534839318642142	0.326851743743655	0.41961062596988	0.352329099412916	0.244208146810184	0.298817029918277	0.329863688910134	0.434354446619726	0.643641039360298	0.209705300038549	0.329810228201876	1	0.127913371174021	0.560253500529827	0.566679995010973	0.424977428001209	0.355369085609108	0.378231890413823	0.318265130135779	0.316796067416625	0.546478576926929	0.431630810484939	-0.010435751120091	0.0398591091857148	-0.102222941756317	0.258453779903526	0.253722155190824	0.131186022211636	0.176849881522677	0.0319730223266901	0.217334159793794	0.285307343124737	0.264002587710414	0.211257406820728	0.244153093157891	0.408717399570847	0.164043332095678	0.199561169344756	0.231695679111083	0.36643589638346	0.324759667305763	0.596796434451507	0.582705718250191	0.655842457825445
VK	-0.111248377291293	0.186561025357621	0.139827747512604	0.0915637121579037	0.350187788110338	0.183479999930926	0.137183360310019	0.171102062535828	0.21318013500368	0.0540030174264594	0.358435840001773	0.0763268054577696	0.11124431477566	0.401653813500918	0.175003051437212	0.52023531859485	0.055120783419246	0.069373583870265	0.911460470530225	0.163588116506979	0.14894724623032	0.131675767787446	0.215066719174073	0.284237808595768	0.0317830744248746	0.445321730413146	0.207951605691444	0.153045598643583	0.122765557140567	0.0533422725815319	0.226750639082811	0.127913371174021	1	0.136019314772083	0.192294370501865	0.327371502874964	0.18752403314206	0.1722197135502	0.360365552273274	0.160703022173631	0.294522812334482	0.181559558683174	-0.0571691955546473	-0.0281558141515129	-0.0383144458991236	0.128370492564742	0.135119844401456	0.150005934334461	0.154539985756691	0.102858519722892	0.112371541516096	0.150244280100333	0.0651421410260548	0.0819330080096346	0.175639066815762	0.112364754905884	0.0520677617452255	0.204108190282881	0.222297219127696	0.10822026363522	0.0625458290958705	0.147635502143843	0.0851459685653109	0.166872644225229
CALC	0.0820024252659241	0.567091715761548	0.534140422652447	0.413580202563938	0.464398806007851	0.470293606487805	0.539279078849296	0.400030157662057	0.314106329174215	0.184546152586262	0.398163364261389	0.254862901575043	0.602585949503457	0.505887333157045	0.131595650486911	0.15438703109537	0.0775681981988315	0.232980602320658	0.0976242955860537	0.581464266706262	0.69945750881856	0.411386844159103	0.390738673765079	0.487814156690964	0.381910415939054	0.358706310401619	0.471683677865953	0.335948097861003	0.547928135347312	0.187996233648083	0.269195853978022	0.560253500529827	0.136019314772083	1	0.781584546343485	0.58337271767845	0.497268609418498	0.602072023178184	0.474313160842471	0.50485239279803	0.605699474187333	0.534096550179096	0.0780253306781294	0.0484237043893519	-0.194010338121551	0.567810790012024	0.54023808370799	0.301008441730442	0.465789718372905	0.11293029496415	0.521203769001543	0.523537637611588	0.49178745059549	0.281632297146611	0.395077038140114	0.268499292931825	0.0910384973414744	0.312562904849915	0.285604180194751	0.219920163583044	0.0836217355466358	0.12893304465067	0.0775636343254139	0.129314725981403
