"DRXFDCD"	"DRXFCSD"	"DRXFCLD"
27220190	"SAUSAGE AND NOODLES WITH CREAM OR WHITE SAUCE"	"Sausage and noodles with cream or white sauce"
27220210	"HAM AND NOODLES, NO SAUCE"	"Ham and noodles, no sauce"
27220310	"HAM OR PORK AND RICE, NO SAUCE"	"Ham or pork and rice, no sauce"
27220510	"HAM OR PORK AND POTATOES WITH GRAVY"	"Ham or pork and potatoes with gravy"
27220520	"HAM OR PORK AND POTATOES WITH CHEESE SAUCE"	"Ham or pork and potatoes with cheese sauce"
27221100	"STEWED PIG_S FEET, PUERTO RICAN STYLE"	"Stewed pig_s feet, Puerto Rican style"
27221110	"STUFFED PORK ROAST, PUERTO RICAN STYLE"	"Stuffed pork roast, Puerto Rican style"
27221150	"PORK STEW, WITH POTATOES, TOMATO-BASED SAUCE, MEXICAN STYLE"	"Pork stew, with potatoes, tomato-based sauce, Mexican style"
27230010	"LAMB OR MUTTON LOAF"	"Lamb or mutton loaf"
27231000	"LAMB OR MUTTON AND POTATOES WITH GRAVY"	"Lamb or mutton and potatoes with gravy"
27232000	"LAMB OR MUTTON AND POTATOES WITH TOMATO-BASED SAUCE"	"Lamb or mutton and potatoes with tomato-based sauce"
27233000	"LAMB OR MUTTON AND NOODLES WITH GRAVY"	"Lamb or mutton and noodles with gravy"
27235000	"MEAT LOAF MADE WITH VENISON_DEER"	"Meat loaf made with venison_deer"
27235750	"VEAL AND NOODLES WITH CREAM OR WHITE SAUCE"	"Veal and noodles with cream or white sauce"
27236000	"VENISON OR DEER AND NOODLES WITH CREAM OR WHITE SAUCE"	"Venison or deer and noodles with cream or white sauce"
27241000	"CHICKEN OR TURKEY HASH"	"Chicken or turkey hash"
27241010	"CHICKEN OR TURKEY AND POTATOES WITH GRAVY"	"Chicken or turkey and potatoes with gravy"
27242000	"CHICKEN OR TURKEY AND NOODLES, NO SAUCE"	"Chicken or turkey and noodles, no sauce"
27242200	"CHICKEN OR TURKEY AND NOODLES WITH GRAVY"	"Chicken or turkey and noodles with gravy"
27242250	"CHICKEN OR TURKEY AND NOODLES WITH MUSHROOM SAUCE"	"Chicken or turkey and noodles with mushroom sauce"
27242300	"CHICKEN OR TURKEY AND NOODLES WITH CREAM OR WHITE SAUCE"	"Chicken or turkey and noodles with cream or white sauce"
27242310	"CHICKEN OR TURKEY AND NOODLES WITH CHEESE SAUCE"	"Chicken or turkey and noodles with cheese sauce"
27242350	"CHICKEN OR TURKEY TETRAZZINI"	"Chicken or turkey tetrazzini"
27242400	"CHICKEN OR TURKEY AND NOODLES WITH TOMATO-BASED SAUCE"	"Chicken or turkey and noodles with tomato-based sauce"
27242500	"CHICKEN OR TURKEY AND NOODLES WITH SOY-BASED SAUCE"	"Chicken or turkey and noodles with soy-based sauce"
27243000	"CHICKEN OR TURKEY AND RICE, NO SAUCE"	"Chicken or turkey and rice, no sauce"
27243100	"BIRYANI WITH CHICKEN"	"Biryani with chicken"
27243300	"CHICKEN OR TURKEY AND RICE WITH CREAM SAUCE"	"Chicken or turkey and rice with cream sauce"
27243400	"CHICKEN OR TURKEY AND RICE WITH MUSHROOM SAUCE"	"Chicken or turkey and rice with mushroom sauce"
27243500	"CHICKEN OR TURKEY AND RICE WITH TOMATO-BASED SAUCE"	"Chicken or turkey and rice with tomato-based sauce"
27243600	"CHICKEN OR TURKEY AND RICE WITH SOY-BASED SAUCE"	"Chicken or turkey and rice with soy-based sauce"
27243700	"CHICKEN IN CHEESE SAUCE WITH SPANISH RICE"	"Chicken in cheese sauce with Spanish rice"
27246100	"CHICKEN OR TURKEY WITH DUMPLINGS"	"Chicken or turkey with dumplings"
27246200	"CHICKEN OR TURKEY WITH STUFFING"	"Chicken or turkey with stuffing"
27246300	"CHICKEN OR TURKEY CAKE, PATTY, OR CROQUETTE"	"Chicken or turkey cake, patty, or croquette"
27246400	"CHICKEN OR TURKEY SOUFFLE"	"Chicken or turkey souffle"
27246500	"MEAT LOAF MADE WITH CHICKEN OR TURKEY"	"Meat loaf made with chicken or turkey"
27246505	"MEAT LOAF MADE WITH CHICKEN OR TURKEY, WITH TOMATO-BASED SAU"	"Meat loaf made with chicken or turkey, with tomato-based sauce"
27250020	"CLAMS, STUFFED"	"Clams, stuffed"
27250030	"CODFISH BALL OR CAKE"	"Codfish ball or cake"
27250040	"CRAB CAKE"	"Crab cake"
27250050	"FISH CAKE OR PATTY, NS AS TO FISH"	"Fish cake or patty, NS as to fish"
27250060	"GEFILTE FISH"	"Gefilte fish"
27250070	"SALMON CAKE OR PATTY"	"Salmon cake or patty"
27250080	"SALMON LOAF"	"Salmon loaf"
27250110	"SCALLOPS AND NOODLES WITH CHEESE SAUCE"	"Scallops and noodles with cheese sauce"
27250120	"SHRIMP AND NOODLES, NO SAUCE"	"Shrimp and noodles, no sauce"
27250122	"SHRIMP AND NOODLES WITH GRAVY"	"Shrimp and noodles with gravy"
27250124	"SHRIMP AND NOODLES WITH MUSHROOM SAUCE"	"Shrimp and noodles with mushroom sauce"
27250126	"SHRIMP AND NOODLES WITH CREAM OR WHITE SAUCE"	"Shrimp and noodles with cream or white sauce"
27250128	"SHRIMP AND NOODLES WITH SOY-BASED SAUCE"	"Shrimp and noodles with soy-based sauce"
27250130	"SHRIMP AND NOODLES WITH CHEESE SAUCE"	"Shrimp and noodles with cheese sauce"
27250132	"SHRIMP AND NOODLES WITH TOMATO SAUCE"	"Shrimp and noodles with tomato sauce"
27250150	"TUNA LOAF"	"Tuna loaf"
27250160	"TUNA CAKE OR PATTY"	"Tuna cake or patty"
27250210	"CLAM CAKE OR PATTY"	"Clam cake or patty"
27250220	"OYSTER FRITTER"	"Oyster fritter"
27250250	"FLOUNDER WITH CRAB STUFFING"	"Flounder with crab stuffing"
27250260	"LOBSTER WITH BREAD STUFFING, BAKED"	"Lobster with bread stuffing, baked"
27250270	"CLAMS CASINO"	"Clams Casino"
27250300	"MACKEREL CAKE OR PATTY"	"Mackerel cake or patty"
27250310	"HADDOCK CAKE OR PATTY"	"Haddock cake or patty"
27250400	"SHRIMP CAKE OR PATTY"	"Shrimp cake or patty"
27250410	"SHRIMP WITH CRAB STUFFING"	"Shrimp with crab stuffing"
27250450	"SHRIMP TOAST, FRIED"	"Shrimp toast, fried"
27250520	"SEAFOOD RESTRUCTURED"	"Seafood restructured"
27250550	"SEAFOOD SOUFFLE"	"Seafood souffle"
27250610	"TUNA NOODLE CASSEROLE WITH CREAM OR WHITE SAUCE"	"Tuna noodle casserole with cream or white sauce"
27250630	"TUNA NOODLE CASSEROLE WITH MUSHROOM SAUCE"	"Tuna noodle casserole with mushroom sauce"
27250710	"TUNA AND RICE WITH MUSHROOM SAUCE"	"Tuna and rice with mushroom sauce"
27250810	"FISH AND RICE WITH TOMATO-BASED SAUCE"	"Fish and rice with tomato-based sauce"
27250820	"FISH AND RICE WITH CREAM SAUCE"	"Fish and rice with cream sauce"
27250830	"FISH AND RICE WITH MUSHROOM SAUCE"	"Fish and rice with mushroom sauce"
27250900	"FISH AND NOODLES WITH MUSHROOM SAUCE"	"Fish and noodles with mushroom sauce"
27250950	"SHELLFISH AND NOODLES WITH TOMATO-BASED SAUCE"	"Shellfish and noodles with tomato-based sauce"
27251010	"STEWED SALMON, PUERTO RICAN STYLE"	"Stewed salmon, Puerto Rican style"
27260010	"MEAT LOAF, NS AS TO TYPE OF MEAT"	"Meat loaf, NS as to type of meat"
27260050	"MEATBALLS, WITH BREADING, NS AS TO TYPE OF MEAT, WITH GRAVY"	"Meatballs, with breading, NS as to type of meat, with gravy"
27260080	"MEAT LOAF MADE WITH BEEF AND PORK"	"Meat loaf made with beef and pork"
27260090	"MEAT LOAF MADE WITH BEEF, VEAL AND PORK"	"Meat loaf made with beef, veal and pork"
27260100	"MEAT LOAF MADE WITH BEEF AND PORK, WITH TOMATO-BASED SAUCE"	"Meat loaf made with beef and pork, with tomato-based sauce"
27260110	"HASH, NS AS TO TYPE OF MEAT"	"Hash, NS as to type of meat"
27260500	"VIENNA SAUSAGES STEWED WITH POTATOES, PUERTO RICAN STYLE"	"Vienna sausages stewed with potatoes, Puerto Rican style"
27260510	"LIVER DUMPLING"	"Liver dumpling"
27261000	"BREADED BRAINS, PUERTO RICAN STYLE"	"Breaded brains, Puerto Rican style"
27261500	"STEWED, SEASONED, GROUND BEEF AND PORK WITH POTATOES, MEXICA"	"Stewed, seasoned, ground beef and pork with potatoes, Mexican style"
27311110	"BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; no sauce"
27311120	"BEEF, POTATOES, AND VEGETABLES, EXCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce"
27311210	"CORNED BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BRO"	"Corned beef, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; no sauce"
27311220	"CORNED BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BRO"	"Corned beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27311310	"BEEF STEW WITH POTATOES AND VEGETABLES INCLUDING CARROTS, BR"	"Beef stew with potatoes and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27311320	"BEEF STEW WITH POTATOES AND VEGETABLES EXCLUDING CARROTS, BR"	"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27311410	"BEEF STEW WITH POTATOES AND VEGETABLES INCLUDING CARROTS, BR"	"Beef stew with potatoes and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27311420	"BEEF STEW WITH POTATOES AND VEGETABLES EXCLUDING CARROTS, BR"	"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27311510	"SHEPHERD_S PIE WITH BEEF"	"Shepherd_s pie with beef"
27311600	"BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27311605	"BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27311610	"BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27311620	"BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27311625	"BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27311630	"BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27311635	"BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; cheese sauce"
27311640	"BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
27311645	"BEEF, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; soy-based sauce"
27311650	"BEEF, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,"	"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
27313010	"BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; no sauce"
27313020	"BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27313110	"BEEF CHOW MEIN OR CHOP SUEY WITH NOODLES"	"Beef chow mein or chop suey with noodles"
27313150	"BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; soy-based sauce"
27313160	"BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
27313210	"BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27313220	"BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27313310	"BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; mushroom sauce"
27313320	"BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce"
27313410	"BEEF, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27313420	"BEEF, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A"	"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27315010	"BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND_"	"Beef, rice, and vegetables including carrots, broccoli, and_or dark-green leafy; no sauce"
27315020	"BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND"	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27315210	"BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND_"	"Beef, rice, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27315220	"BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND_"	"Beef, rice, and vegetables excluding carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27315250	"STUFFED CABBAGE ROLLS WITH BEEF AND RICE"	"Stuffed cabbage rolls with beef and rice"
27315270	"STUFFED GRAPE LEAVES WITH BEEF AND RICE"	"Stuffed grape leaves with beef and rice"
27315310	"BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND_"	"Beef, rice, and vegetables including carrots, broccoli, and_or dark-green leafy; mushroom sauce"
27315320	"BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND"	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce"
27315330	"BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND_"	"Beef, rice, and vegetables including carrots, broccoli, and_or dark-green leafy; cheese sauce"
27315340	"BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND"	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
27315410	"BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND_"	"Beef, rice, and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27315420	"BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND"	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27315510	"BEEF, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND_"	"Beef, rice, and vegetables including carrots, broccoli, and_or dark-green leafy; soy-based sauce"
27315520	"BEEF, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND"	"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
27317010	"BEEF POT PIE"	"Beef pot pie"
27317100	"BEEF, DUMPLINGS, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Beef, dumplings, and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27317110	"BEEF, DUMPLINGS, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,"	"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27319010	"STUFFED GREEN PEPPER, PUERTO RICAN STYLE"	"Stuffed green pepper, Puerto Rican style"
27320020	"HAM POT PIE"	"Ham pot pie"
27320025	"HAM OR PORK, NOODLES AND VEGETABLES EXCLUDING CARROTS, BROCC"	"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27320027	"HAM OR PORK, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROC"	"Ham or pork, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; no sauce"
27320030	"HAM OR PORK, NOODLES AND VEGETABLES EXCLUDING CARROTS, BROCC"	"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
27320040	"PORK, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Pork, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; no sauce"
27320070	"HAM OR PORK, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROC"	"Ham or pork, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27320080	"SAUSAGE, NOODLES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI"	"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27320090	"SAUSAGE, NOODLES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI"	"Sausage, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27320100	"PORK, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Pork, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27320110	"PORK, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,"	"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27320120	"SAUSAGE, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOL"	"Sausage, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27320130	"SAUSAGE, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOL"	"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27320140	"PORK, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI,"	"Pork, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27320150	"PORK, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,"	"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27320210	"PORK, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI,"	"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27320310	"PORK CHOW MEIN OR CHOP SUEY WITH NOODLES"	"Pork chow mein or chop suey with noodles"
27320320	"PORK, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND_"	"Pork, rice, and vegetables including carrots, broccoli, and_or dark-green leafy; soy-based sauce"
27320330	"PORK, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND"	"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce"
27320340	"PORK, RICE, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, AND_"	"Pork, rice, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27320350	"PORK, RICE, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, AND"	"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27320410	"HAM, POTATOES, AND VEGETABLES EXCLUDING CARROTS, BROCCOLI, A"	"Ham, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27320450	"HAM, POTATOES, AND VEGETABLES INCLUDING CARROTS, BROCCOLI, A"	"Ham, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; no sauce"
27320500	"SWEET AND SOUR PORK WITH RICE"	"Sweet and sour pork with rice"
27330010	"SHEPHERD_S PIE WITH LAMB"	"Shepherd_s pie with lamb"
27330030	"LAMB OR MUTTON STEW WITH POTATOES AND VEGETABLES INCLUDING C"	"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27330050	"LAMB OR MUTTON, RICE, AND VEGETABLES EXCLUDING CARROTS, BROC"	"Lamb or mutton, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27330060	"LAMB OR MUTTON, RICE, AND VEGETABLES INCLUDING CARROTS, BROC"	"Lamb or mutton, rice, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27330080	"LAMB OR MUTTON, RICE, AND VEGETABLES  INCLUDING CARROTS, BRO"	"Lamb or mutton, rice, and vegetables  including carrots, broccoli, and_or dark-green leafy; gravy"
27330110	"LAMB OR MUTTON STEW WITH POTATOES AND VEGETABLES EXCLUDING C"	"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27330170	"STUFFED GRAPE LEAVES WITH LAMB AND RICE"	"Stuffed grape leaves with lamb and rice"
27330210	"LAMB OR MUTTON STEW WITH POTATOES AND VEGETABLES INCLUDING C"	"Lamb or mutton stew with potatoes and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27330220	"LAMB OR MUTTON STEW WITH POTATOES AND VEGETABLES EXCLUDING C"	"Lamb or mutton stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27331150	"VEAL FRICASSEE, PUERTO RICAN STYLE"	"Veal fricassee, Puerto Rican style"
27332100	"VEAL STEW WITH POTATOES AND VEGETABLES INCLUDING CARROTS, BR"	"Veal stew with potatoes and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27332110	"VEAL STEW WITH POTATOES AND VEGETABLES EXCLUDING CARROTS, BR"	"Veal stew with potatoes and vegetables excluding carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27335100	"RABBIT STEW WITH POTATOES AND VEGETABLES"	"Rabbit stew with potatoes and vegetables"
27335500	"STEWED RABBIT, PUERTO RICAN STYLE,"	"Stewed rabbit, Puerto Rican style,"
27336100	"VENISON OR DEER STEW WITH POTATOES AND VEGETABLES INCLUDING"	"Venison or deer stew with potatoes and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27336150	"VENISON OR DEER STEW WITH POTATOES AND VEGETABLES EXCLUDING"	"Venison or deer stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27336200	"VENISON OR DEER, POTATOES, AND VEGETABLES INCLUDING CARROTS,"	"Venison or deer, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27336250	"VENISON OR DEER, POTATOES, AND VEGETABLES EXCLUDING CARROTS,"	"Venison or deer, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27336300	"VENISON OR DEER, NOODLES, AND VEGETABLES INCLUDING CARROTS,"	"Venison or deer, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27336310	"VENISON OR DEER, NOODLES, AND VEGETABLES EXCLUDING CARROTS,"	"Venison or deer, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27341000	"CHICKEN OR TURKEY, POTATOES, CORN, AND CHEESE, WITH GRAVY"	"Chicken or turkey, potatoes, corn, and cheese, with gravy"
27341010	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; no sauce"
27341020	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27341025	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27341030	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27341035	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27341040	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27341045	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; cheese sauce"
27341050	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce"
27341055	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES INCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27341060	"CHICKEN OR TURKEY, POTATOES, AND VEGETABLES EXCLUDING CARROT"	"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
27341310	"CHICKEN OR TURKEY STEW WITH POTATOES AND VEGETABLES INCLUDIN"	"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27341320	"CHICKEN OR TURKEY STEW WITH POTATOES AND VEGETABLES EXCLUDIN"	"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27341510	"CHICKEN OR TURKEY STEW WITH POTATOES AND VEGETABLES INCLUDIN"	"Chicken or turkey stew with potatoes and vegetables including carrots, broccoli, and_or dark-green leafy; tomato-based sauce"
27341520	"CHICKEN OR TURKEY STEW WITH POTATOES AND VEGETABLES EXCLUDIN"	"Chicken or turkey stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato- based sauce"
27343010	"CHICKEN OR TURKEY, NOODLES, AND VEGETABLES INCLUDING CARROTS"	"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; no sauce"
27343020	"CHICKEN OR TURKEY, NOODLES, AND VEGETABLES EXCLUDING CARROTS"	"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce"
27343410	"CHICKEN OR TURKEY, NOODLES, AND VEGETABLES INCLUDING CARROTS"	"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; gravy"
27343420	"CHICKEN OR TURKEY, NOODLES, AND VEGETABLES EXCLUDING CARROTS"	"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy"
27343470	"CHICKEN OR TURKEY, NOODLES, AND VEGETABLES INCLUDING CARROTS"	"Chicken or turkey, noodles, and vegetables including carrots, broccoli, and_or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27343480	"CHICKEN OR TURKEY, NOODLES, AND VEGETABLES EXCLUDING CARROTS"	"Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and_or dark-green leafy; cream sauce, white sauce, or mushroom sauce"
