Var	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31
V_TOTAL	0.36208137662809	0.0905063857619883	-0.289568612008888	0.3158529291413	0.0896489824822546	-0.00175113297168563	0.0190695915553037	-0.0149784599755605	0.0189525621228224	-0.0285532452517751	-0.00291388267270804	-0.00901574084892628	-0.010291120172271	0.00145312553474494	0.0390588855538658	-0.0959726181692082	-0.0926603628184403	-0.0269966655809781	0.13112818380337	0.124411320463726	0.119695980113868	-0.0892881335007669	0.0920376627425383	-0.0902463910779931	0.0628051740708951	0.0151663695751598	-0.0143836301859758	-0.0944026212905406	0.059430258802496	0.65816164296973	0.354191542992103
PF_LEGUMES	0.0235141565608269	0.0133077899976467	0.14357910179166	0.106848325820628	-0.0800338662119921	0.169764736179633	0.00361710513142328	0.35276873415625	-0.248851191696523	-0.179763488143891	0.453321414550304	-0.203603324226072	-0.114091111950335	0.35851437218578	0.14198671683909	-0.129224042272914	-0.258300875166872	0.0663723445994321	0.133662291118211	0.00518923343276626	-0.00236967064141998	0.352084441635202	-0.0603432307797135	0.208559454909721	-0.0167693141718479	0.0143957308945231	-0.156829015442292	-0.0520553735004984	-0.00557810426855693	1.41760433902633e-16	6.05505585225818e-17
G_WHOLE	0.174085200918587	0.220896896131304	0.142943778190422	0.0193962453393194	-0.0972687790209682	0.0997343401911966	-0.00458804152635357	-0.193634909091354	-0.315909215091152	-0.0763489302367101	-0.211407796943128	-0.0483618000875455	0.235405925309961	0.0398667127337397	0.248845202736427	-0.308167662650605	0.418482611284902	0.111856317648816	0.162237740725726	-0.226504513145373	-0.0600252372526399	0.108036239439804	0.0181667886818658	-0.0989569239736237	-0.0691112640059075	0.352170677443513	-0.0443567455397496	0.107503552952754	-0.208859433738421	-1.77528744606419e-16	1.67045133823651e-17
G_TOTAL	0.24807169023632	-0.169009393753719	0.274090527426472	0.047706718071314	-0.0824643761164107	0.0843955084514832	-0.130322422539524	0.215794257381111	-0.130718605730985	-0.0782916484102376	-0.190284791560155	-0.113004402140043	0.0191513269049023	0.115551344760199	0.0305086858980379	0.0045317696482199	0.124628920366922	0.204045088135706	-0.214685775254598	0.123378012634424	-0.294456735164647	-0.304460172058266	-0.339964798253192	-0.188523990981392	0.115697439053944	-0.0937354484001931	0.0739440894653838	-0.336161330006065	0.280203140745583	5.88286595911792e-17	-2.81885196237858e-17
PF_MEAT	0.0966911384561502	-0.216140545865132	-0.110724802796556	0.0920385761656272	0.232546758486991	-0.321853748092112	0.0171950375457367	0.00171098500089838	-0.067346961458919	-0.249728109665077	0.312870196261943	0.25422636438859	-0.214904551465292	-0.285591178323151	0.168621914338605	0.0896873610252041	0.312629357390427	0.0620341691582843	0.0391827356100841	-0.135488993037441	-0.111912786577963	0.162144105403062	-0.277332045920049	0.0576990280723629	0.0278962579833885	0.0299885569198583	0.122614948901242	0.0283332248992224	0.0416953669259046	-0.158456219298746	0.294444652041734
PF_CUREDMEAT	0.0925374629708753	-0.280903444069856	-0.0797352585871023	-0.105286636831232	-0.238349172660983	0.226316460966211	0.137978657463583	-0.240208559166365	-0.0171126394642415	0.0609982709324696	-0.144764084206935	0.0894361629445958	0.396306493715278	-0.079543214336601	0.10972682718518	0.0280454580782347	-0.266712565121951	-0.0970280859847479	0.124173218990175	0.188239649734782	0.0862342604612692	0.323611851663914	-0.362983703191351	0.0193980845792053	0.209360117565023	-0.0803197862765711	0.068531761248124	0.0184309090034295	0.00270284095602186	-0.125480964827783	0.233169762538125
PF_ORGAN	0.021425928877518	-0.0564798451372577	-0.0303341054257448	0.0472564132100684	0.0280164024227673	0.139799632609209	-0.260142043619656	0.212943664776559	-0.20119900722039	-0.150144263731172	-0.307745008888375	0.484986051892835	-0.165763171643659	0.152376244271186	-0.551580548544159	-0.152280508164541	0.0322036595429033	-0.0841025634616559	0.0873570550962596	-0.0584823086366737	0.0731991145735682	0.145725062451428	-0.0343873037633461	0.0375557191368434	0.149572530281153	-0.0109270704772804	-0.00263897942396336	0.122117262746161	-0.0482586728796131	-0.0124685446338817	0.0231691523528554
PF_POULT	0.0223032496894813	0.0365634759083232	-0.0974775285563636	-0.310145344279335	0.333600188667296	-0.0840828777417064	0.13856592922848	0.0582590636649025	0.0850499061588868	0.312053007938326	-0.170806679705507	0.0632960858978127	-0.175872346570006	0.527690387194573	0.159663467753148	-0.0322701953714761	-0.0668571814464603	0.0442464258130638	0.24561551689806	-0.0117122060884126	-0.158623668505593	-0.054098578273414	-0.0444251171762661	-0.17210390178827	-0.084371610667645	-0.0285122544472779	0.0284224678426276	0.00930033891101665	-0.0678570907472232	-0.175915913380071	0.326888399414239
PF_SEAFD_HI	0.168139567933978	0.116617202581699	-0.0655400362864809	-0.0801639388376023	-0.260904413059984	-0.030403296749387	-0.138212974331457	0.218998668794309	0.330009059017562	0.073160114640813	0.1809918891039	-0.141611989773028	0.255767336671853	-0.0724082845210216	-0.304631734153617	0.103372400005709	0.248138593650089	0.00173721654226373	0.41511637812187	0.0317875254473607	-0.383135806049432	-0.0439444670922798	0.071331769913594	0.166924643300692	0.0921495791868617	-0.0554254461337964	-0.0689767202287354	0.0100418637246528	-0.102694354954132	-0.0772600068966434	0.143565181272781
PF_SEAFD_LOW	0.146709853141647	-0.0189916621851571	0.00117550942965526	-0.19762186850639	-0.210869820733029	0.12885950935817	-0.359818818785968	-0.0484805397903942	-0.0418832219434309	0.346631208024565	0.0373570268049254	-0.211906768410824	-0.403164773185442	-0.246032824413677	-0.0384944480197243	-0.0463417141462455	0.0966941417529178	0.234408841107723	-0.071925447907216	0.0650465730673495	0.315010500614126	0.193995245583036	0.122382876139276	-0.138066943401418	-0.00732195424093342	0.0110763918502542	-0.0884350810030679	-0.0825942874569268	0.0423856820454502	-0.14219462169922	0.264227217421462
